Date,Mkt-RF,SMB,HML,RF
-0--2-91--,1.4,-0.94,0.24,0.02
-0--2-91--,3.06,-0.62,-0.14,0.02
-0--2-91--,1.35,0.12,0.3,0.02
-0--2-91--,-0.65,0.32,0.17,0.02
-0--2-91--,-0.39,0.36,0.11,0.02
-0--2-91--,-0.17,0.07,-0.14,0.02
-0--2-91--,0.31,-0.05,-0.13,0.02
-0--2-91--,0.37,-0.27,-0.06,0.02
-0--3-91--,0.46,-0.19,0.04,0.02
-0--0-91--,0.45,-0.25,0.12,0.02
-0--0-91--,-0.09,0.32,0.07,0.02
-0--0-91--,-0.21,0.15,0.1,0.02
-0--0-91--,-0.07,0.12,0.11,0.02
-0--0-91--,0.37,0.23,0.0,0.02
-0--0-91--,0.42,0.34,-0.07,0.02
-0--1-91--,-0.71,0.18,0.13,0.02
-0--1-91--,-0.01,-0.05,-0.08,0.02
-0--1-91--,0.63,-0.14,-0.35,0.02
-0--1-91--,0.29,-0.18,0.16,0.02
-0--1-91--,0.3,-0.13,-0.03,0.02
-0--1-91--,0.35,-0.09,-0.09,0.02
-0--1-91--,-0.33,0.17,0.06,0.02
-0--1-91--,-0.19,0.19,-0.11,0.02
-0--2-91--,0.09,0.12,0.09,0.02
-0--2-91--,0.25,0.03,-0.06,0.02
-0--2-91--,0.21,-0.46,0.01,0.02
-0--2-91--,0.22,-0.23,-0.1,0.02
-0--2-91--,0.15,-0.07,0.19,0.02
-0--2-91--,0.09,0.2,-0.05,0.02
-0--3-91--,0.6,0.01,-0.2,0.02
-1--0-91--,0.46,-0.26,-0.37,0.02
-1--0-91--,0.23,-0.12,0.01,0.02
-1--0-91--,0.45,-0.45,-0.18,0.02
-1--0-91--,-0.3,0.01,-0.08,0.02
-1--0-91--,-0.42,0.04,-0.22,0.02
-1--0-91--,-0.74,0.09,0.09,0.02
-1--0-91--,-0.35,0.1,-0.09,0.02
-1--1-91--,0.03,-0.25,-0.1,0.02
-1--1-91--,0.14,0.06,-0.02,0.02
-1--1-91--,0.17,-0.12,-0.08,0.02
-1--1-91--,0.31,-0.33,-0.07,0.02
-1--1-91--,0.41,0.22,0.01,0.02
-1--1-91--,0.24,-0.02,-0.02,0.02
-1--1-91--,0.69,-0.22,0.0,0.02
-1--2-91--,-0.5,0.44,-0.08,0.02
-1--2-91--,-0.48,0.4,-0.09,0.02
-1--2-91--,-0.39,0.05,-0.09,0.02
-1--2-91--,-0.03,-0.05,0.14,0.02
